iter	RMSE
0	3626.482461
1	3053.926116
2	2694.148775
3	2474.083996
4	2331.476583
5	2229.830148
6	2170.979978
7	2126.543668
8	2085.943932
9	2061.30778
10	2033.918938
11	2007.930607
12	1991.431901
13	1977.081679
14	1964.235057
15	1952.039985
16	1943.176802
17	1935.607037
18	1922.359339
19	1911.175866
20	1903.670848
21	1899.020614
22	1890.697165
23	1884.37378
24	1879.474129
25	1871.961151
26	1866.964496
27	1861.909573
28	1855.581078
29	1851.58785
30	1845.237418
31	1840.411179
32	1836.345222
33	1833.104703
34	1827.2959
35	1821.263017
36	1816.239526
37	1811.861695
38	1807.414973
39	1803.559452
40	1797.813971
41	1793.986581
42	1789.566705
43	1786.023721
44	1782.189468
45	1779.712979
46	1776.374507
47	1773.345187
48	1769.353672
49	1766.066584
50	1763.251033
51	1759.675133
52	1757.470549
53	1754.700653
54	1752.621766
55	1750.177019
56	1747.667989
57	1745.277583
58	1743.644828
59	1739.745267
60	1737.408932
61	1735.775128
62	1733.124
63	1730.514958
64	1727.689196
65	1725.062966
66	1722.701734
67	1720.378778
68	1717.92671
69	1715.64908
70	1713.528219
71	1711.688472
72	1709.443794
73	1707.452645
74	1705.879038
75	1704.030795
76	1702.459524
77	1700.556585
78	1698.261879
79	1696.323382
80	1694.603344
81	1693.354646
82	1691.697547
83	1689.507104
84	1686.935216
85	1684.687713
86	1682.821079
87	1681.031635
88	1679.7323
89	1677.281397
90	1675.143491
91	1673.339448
92	1671.278806
93	1669.961387
94	1667.89684
95	1666.239646
96	1664.489102
97	1663.3786
98	1661.221639
99	1659.578228
