iter	Passed	Remaining
0	41	4149
1	79	3893
2	114	3698
3	149	3590
4	179	3409
5	208	3270
6	239	3188
7	277	3194
8	313	3169
9	355	3196
10	397	3213
11	428	3143
12	463	3100
13	495	3044
14	529	3003
15	563	2959
16	594	2900
17	623	2841
18	652	2783
19	684	2738
20	711	2675
21	744	2640
22	779	2609
23	814	2579
24	850	2551
25	889	2532
26	925	2503
27	967	2488
28	1010	2472
29	1046	2441
30	1089	2424
31	1124	2389
32	1161	2357
33	1202	2333
34	1236	2295
35	1268	2255
36	1301	2215
37	1339	2185
38	1375	2150
39	1409	2113
40	1443	2076
41	1476	2038
42	1505	1995
43	1536	1955
44	1572	1921
45	1601	1880
46	1630	1838
47	1658	1796
48	1688	1757
49	1717	1717
50	1752	1683
51	1790	1653
52	1827	1620
53	1861	1585
54	1894	1549
55	1927	1514
56	1962	1480
57	1997	1446
58	2026	1408
59	2061	1374
60	2090	1336
61	2121	1300
62	2153	1264
63	2185	1229
64	2217	1193
65	2248	1158
66	2280	1123
67	2309	1086
68	2337	1050
69	2368	1015
70	2400	980
71	2428	944
72	2455	908
73	2488	874
74	2522	840
75	2557	807
76	2594	775
77	2628	741
78	2655	705
79	2685	671
80	2715	637
81	2746	602
82	2779	569
83	2814	536
84	2847	502
85	2879	468
86	2912	435
87	2943	401
88	2973	367
89	3003	333
90	3033	300
91	3066	266
92	3098	233
93	3128	199
94	3163	166
95	3198	133
96	3238	100
97	3276	66
98	3311	33
99	3343	0
